strategy,weight,sym,dir,m,res,factor_id,p
oi_ltc_010,0.0319,LTC,R,B,1h,oi_ltc,"[0, 96, 1292, 0.4]"
oi_ltc_011,0.0319,LTC,R,B,1h,oi_ltc,"[0, 36, 1292, 0.4]"
oi_ltc_012,0.0319,LTC,R,B,1h,oi_ltc,"[0, 36, 1552, 0.6]"
oi_ltc_013,0.0319,LTC,R,B,1h,oi_ltc,"[0, 30, 1292, 0.6]"
oi_ltc_014,0.0319,LTC,R,B,1h,oi_ltc,"[0, 18, 1292, 0.4]"
oi_ltc_015,0.0319,LTC,R,R,1h,oi_ltc,"[0, 6, 1864, 0.7]"
oi_ltc_016,0.0319,LTC,R,R,1h,oi_ltc,"[0, 30, 1552, 0.75]"
oi_ltc_017,0.0319,LTC,R,R,1h,oi_ltc,"[0, 42, 1864, 0.55]"
oi_ltc_018,0.0319,LTC,R,R,1h,oi_ltc,"[0, 48, 1292, 0.65]"
oi_ltc_019,0.0319,LTC,R,R,1h,oi_ltc,"[0, 48, 1552, 0.5]"
oi_ltc_020,0.0319,LTC,R,R,1h,oi_ltc,"[0, 8, 1864, 0.75]"
oi_ltc_021,0.0319,LTC,R,R,1h,oi_ltc,"[0, 30, 1292, 0.65]"
oi_ltc_022,0.0319,LTC,R,R,1h,oi_ltc,"[0, 36, 1292, 0.65]"
oi_ltc_023,0.0319,LTC,R,R,1h,oi_ltc,"[0, 60, 1075, 0.65]"
oi_ltc_024,0.0319,LTC,R,R,1h,oi_ltc,"[0, 42, 1292, 0.75]"
oi_ltc_025,0.0319,LTC,R,R,1h,oi_ltc,"[0, 30, 1292, 0.6]"
oi_ltc_026,0.0319,LTC,R,R,1h,oi_ltc,"[0, 36, 1292, 0.75]"
oi_ltc_027,0.0319,LTC,R,R,1h,oi_ltc,"[0, 48, 1292, 0.7]"
oi_tao_001,0.0167,TAO,R,B,1h,oi_tao,"[0, 12, 424, 0.0]"
oi_tao_002,0.0167,TAO,R,B,1h,oi_tao,"[0, 12, 350, 0.8]"
oi_tao_003,0.0167,TAO,R,B,1h,oi_tao,"[0, 12, 350, 0.6]"
oi_tao_004,0.0167,TAO,R,B,1h,oi_tao,"[0, 12, 512, 0.0]"
oi_tao_005,0.0167,TAO,R,B,1h,oi_tao,"[0, 60, 288, 0.4]"
oi_tao_006,0.0167,TAO,R,B,1h,oi_tao,"[0, 48, 288, 1.0]"
oi_tao_007,0.0167,TAO,R,B,1h,oi_tao,"[0, 42, 512, 0.2]"
oi_tao_008,0.0167,TAO,R,B,1h,oi_tao,"[0, 48, 288, 0.6]"
oi_tao_009,0.0167,TAO,R,B,1h,oi_tao,"[0, 6, 424, 0.8]"
oi_tao_010,0.0167,TAO,R,B,1h,oi_tao,"[0, 42, 288, 1.0]"
oi_tao_011,0.0167,TAO,R,B,1h,oi_tao,"[0, 36, 288, 1.0]"
oi_tao_012,0.0167,TAO,R,R,1h,oi_tao,"[0, 48, 350, 0.8]"
oi_tao_013,0.0167,TAO,R,R,1h,oi_tao,"[0, 12, 350, 0.75]"
oi_tao_014,0.0167,TAO,R,R,1h,oi_tao,"[0, 8, 350, 0.8]"
oi_tao_015,0.0167,TAO,R,R,1h,oi_tao,"[0, 8, 350, 0.85]"
oi_tao_016,0.0167,TAO,R,R,1h,oi_tao,"[0, 42, 350, 0.85]"
oi_tao_017,0.0167,TAO,R,R,1h,oi_tao,"[0, 48, 350, 0.7]"
oi_tao_018,0.0167,TAO,R,R,1h,oi_tao,"[0, 1, 512, 0.75]"
oi_tao_019,0.0167,TAO,R,R,1h,oi_tao,"[0, 36, 350, 0.85]"
oi_tao_020,0.0167,TAO,R,R,1h,oi_tao,"[0, 60, 424, 0.7]"
oi_tao_021,0.0167,TAO,R,R,1h,oi_tao,"[0, 18, 350, 0.8]"
oi_tao_022,0.0167,TAO,R,R,1h,oi_tao,"[0, 42, 288, 0.85]"
oi_tao_023,0.0167,TAO,R,R,1h,oi_tao,"[0, 42, 350, 0.8]"
oi_tao_024,0.0167,TAO,R,R,1h,oi_tao,"[0, 1, 512, 0.8]"
buyVolume_arb_001,0.0016,ARB,M,B,1h,buyVolume_arb,"[48, 512, 1.2]"
buyVolume_arb_002,0.0016,ARB,M,B,1h,buyVolume_arb,"[72, 512, 0.6]"
buyVolume_arb_003,0.0016,ARB,M,B,1h,buyVolume_arb,"[60, 617, 0.8]"
buyVolume_arb_004,0.0016,ARB,M,B,1h,buyVolume_arb,"[60, 894, 0.2]"
buyVolume_arb_005,0.0016,ARB,M,B,1h,buyVolume_arb,"[72, 894, 1.0]"
buyVolume_arb_006,0.0016,ARB,M,B,1h,buyVolume_arb,"[60, 512, 0.6]"
buyVolume_arb_007,0.0016,ARB,M,B,1h,buyVolume_arb,"[72, 1864, 1.6]"
buyVolume_arb_008,0.0016,ARB,M,B,1h,buyVolume_arb,"[60, 894, 1.0]"
buyVolume_arb_009,0.0016,ARB,M,B,1h,buyVolume_arb,"[96, 617, 0.4]"
buyVolume_arb_010,0.0016,ARB,M,B,1h,buyVolume_arb,"[96, 743, 0.2]"
buyVolume_arb_011,0.0016,ARB,M,B,1h,buyVolume_arb,"[42, 894, 0.2]"
buyVolume_arb_012,0.0016,ARB,M,B,1h,buyVolume_arb,"[96, 743, 0.4]"
buyVolume_arb_013,0.0016,ARB,M,R,1h,buyVolume_arb,"[84, 743, 0.55]"
buyVolume_arb_014,0.0016,ARB,M,R,1h,buyVolume_arb,"[96, 743, 0.7]"
buyVolume_arb_015,0.0016,ARB,M,R,1h,buyVolume_arb,"[84, 743, 0.6]"
buyVolume_arb_016,0.0016,ARB,M,R,1h,buyVolume_arb,"[84, 894, 0.6]"
buyVolume_arb_017,0.0016,ARB,M,R,1h,buyVolume_arb,"[96, 743, 0.65]"
buyVolume_arb_018,0.0016,ARB,M,R,1h,buyVolume_arb,"[84, 512, 0.75]"
buyVolume_arb_019,0.0016,ARB,M,R,1h,buyVolume_arb,"[24, 2238, 0.85]"
buyVolume_arb_020,0.0016,ARB,M,R,1h,buyVolume_arb,"[18, 1864, 0.75]"
buyVolume_arb_021,0.0016,ARB,M,R,1h,buyVolume_arb,"[84, 743, 0.7]"
buyVolume_arb_022,0.0016,ARB,M,R,1h,buyVolume_arb,"[96, 894, 0.55]"
buyVolume_arb_023,0.0016,ARB,M,R,1h,buyVolume_arb,"[60, 1075, 0.7]"
buyVolume_avax_001,0.0113,AVAX,M,B,1h,buyVolume_avax,"[96, 98, 1.8]"
buyVolume_avax_002,0.0113,AVAX,M,B,1h,buyVolume_avax,"[42, 350, 0.8]"
buyVolume_avax_003,0.0113,AVAX,M,B,1h,buyVolume_avax,"[36, 192, 1.6]"
buyVolume_avax_004,0.0113,AVAX,M,B,1h,buyVolume_avax,"[84, 76, 1.8]"
buyVolume_avax_005,0.0113,AVAX,M,B,1h,buyVolume_avax,"[42, 743, 1.0]"
buyVolume_avax_006,0.0113,AVAX,M,B,1h,buyVolume_avax,"[42, 743, 1.2]"
buyVolume_avax_007,0.0113,AVAX,M,B,1h,buyVolume_avax,"[48, 894, 0.8]"
buyVolume_avax_008,0.0113,AVAX,M,B,1h,buyVolume_avax,"[42, 894, 0.8]"
buyVolume_avax_009,0.0113,AVAX,M,B,1h,buyVolume_avax,"[60, 124, 2.2]"
buyVolume_avax_010,0.0113,AVAX,M,B,1h,buyVolume_avax,"[72, 288, 1.6]"
buyVolume_avax_011,0.0113,AVAX,M,B,1h,buyVolume_avax,"[42, 236, 1.0]"
buyVolume_avax_012,0.0113,AVAX,M,R,1h,buyVolume_avax,"[60, 617, 0.85]"
buyVolume_avax_013,0.0113,AVAX,M,R,1h,buyVolume_avax,"[42, 743, 0.7]"
buyVolume_avax_014,0.0113,AVAX,M,R,1h,buyVolume_avax,"[48, 350, 0.8]"
buyVolume_avax_015,0.0113,AVAX,M,R,1h,buyVolume_avax,"[36, 894, 0.7]"
buyVolume_avax_016,0.0113,AVAX,M,R,1h,buyVolume_avax,"[48, 617, 0.75]"
buyVolume_avax_017,0.0113,AVAX,M,R,1h,buyVolume_avax,"[48, 617, 0.8]"
buyVolume_avax_018,0.0113,AVAX,M,R,1h,buyVolume_avax,"[72, 743, 0.8]"
buyVolume_avax_019,0.0113,AVAX,M,R,1h,buyVolume_avax,"[36, 617, 0.85]"
buyVolume_avax_020,0.0113,AVAX,M,R,1h,buyVolume_avax,"[42, 617, 0.8]"
buyVolume_avax_021,0.0113,AVAX,M,R,1h,buyVolume_avax,"[42, 236, 0.75]"
buyVolume_avax_022,0.0113,AVAX,M,R,1h,buyVolume_avax,"[72, 98, 0.7]"
buyVolume_cfx_001,0.0141,CFX,M,B,1h,buyVolume_cfx,"[8, 2238, 0.0]"
buyVolume_cfx_002,0.0141,CFX,M,B,1h,buyVolume_cfx,"[42, 2238, 0.0]"
buyVolume_cfx_003,0.0141,CFX,M,B,1h,buyVolume_cfx,"[8, 1075, 0.2]"
buyVolume_cfx_004,0.0141,CFX,M,B,1h,buyVolume_cfx,"[42, 617, 0.4]"
buyVolume_cfx_005,0.0141,CFX,M,B,1h,buyVolume_cfx,"[84, 1864, 0.4]"
buyVolume_cfx_006,0.0141,CFX,M,B,1h,buyVolume_cfx,"[36, 2238, 0.4]"
buyVolume_cfx_007,0.0141,CFX,M,B,1h,buyVolume_cfx,"[84, 424, 0.6]"
buyVolume_cfx_008,0.0141,CFX,M,B,1h,buyVolume_cfx,"[12, 512, 1.4]"
buyVolume_cfx_009,0.0141,CFX,M,B,1h,buyVolume_cfx,"[42, 2238, 0.2]"
buyVolume_cfx_010,0.0141,CFX,M,R,1h,buyVolume_cfx,"[60, 1864, 0.7]"
buyVolume_cfx_011,0.0141,CFX,M,R,1h,buyVolume_cfx,"[36, 2238, 0.7]"
buyVolume_cfx_012,0.0141,CFX,M,R,1h,buyVolume_cfx,"[36, 2238, 0.75]"
buyVolume_cfx_013,0.0141,CFX,M,R,1h,buyVolume_cfx,"[36, 1292, 0.8]"
buyVolume_cfx_014,0.0141,CFX,M,R,1h,buyVolume_cfx,"[42, 1864, 0.7]"
buyVolume_cfx_015,0.0141,CFX,M,R,1h,buyVolume_cfx,"[42, 2238, 0.7]"
buyVolume_cfx_016,0.0141,CFX,M,R,1h,buyVolume_cfx,"[8, 894, 0.75]"
buyVolume_cfx_017,0.0141,CFX,M,R,1h,buyVolume_cfx,"[12, 2238, 0.9]"
buyVolume_icp_001,0.014,ICP,M,B,1h,buyVolume_icp,"[36, 1552, 0.6]"
buyVolume_icp_002,0.014,ICP,M,B,1h,buyVolume_icp,"[60, 1292, 0.4]"
buyVolume_icp_003,0.014,ICP,M,B,1h,buyVolume_icp,"[48, 1552, 0.8]"
buyVolume_icp_004,0.014,ICP,M,B,1h,buyVolume_icp,"[36, 743, 0.6]"
buyVolume_icp_005,0.014,ICP,M,B,1h,buyVolume_icp,"[36, 1552, 0.4]"
buyVolume_icp_006,0.014,ICP,M,B,1h,buyVolume_icp,"[42, 743, 1.0]"
buyVolume_icp_007,0.014,ICP,M,B,1h,buyVolume_icp,"[42, 894, 0.4]"
buyVolume_icp_008,0.014,ICP,M,B,1h,buyVolume_icp,"[60, 1292, 0.2]"
buyVolume_icp_009,0.014,ICP,M,B,1h,buyVolume_icp,"[48, 1292, 0.4]"
buyVolume_icp_010,0.014,ICP,M,B,1h,buyVolume_icp,"[84, 894, 0.4]"
buyVolume_icp_011,0.014,ICP,M,B,1h,buyVolume_icp,"[30, 1552, 0.6]"
buyVolume_icp_012,0.014,ICP,M,B,1h,buyVolume_icp,"[84, 1075, 0.4]"
buyVolume_icp_013,0.014,ICP,M,R,1h,buyVolume_icp,"[36, 894, 0.8]"
buyVolume_icp_014,0.014,ICP,M,R,1h,buyVolume_icp,"[36, 1292, 0.75]"
buyVolume_icp_015,0.014,ICP,M,R,1h,buyVolume_icp,"[42, 894, 0.8]"
buyVolume_icp_016,0.014,ICP,M,R,1h,buyVolume_icp,"[36, 1552, 0.65]"
buyVolume_icp_017,0.014,ICP,M,R,1h,buyVolume_icp,"[42, 894, 0.85]"
buyVolume_icp_018,0.014,ICP,M,R,1h,buyVolume_icp,"[84, 894, 0.6]"
buyVolume_icp_019,0.014,ICP,M,R,1h,buyVolume_icp,"[42, 894, 0.75]"
buyVolume_icp_020,0.014,ICP,M,R,1h,buyVolume_icp,"[42, 617, 0.8]"
buyVolume_icp_021,0.014,ICP,M,R,1h,buyVolume_icp,"[42, 743, 0.8]"
buyVolume_icp_022,0.014,ICP,M,R,1h,buyVolume_icp,"[60, 617, 0.7]"
buyVolume_link_001,0.0173,LINK,M,B,1h,buyVolume_link,"[72, 98, 1.0]"
buyVolume_link_002,0.0173,LINK,M,B,1h,buyVolume_link,"[72, 98, 1.2]"
buyVolume_link_003,0.0173,LINK,M,B,1h,buyVolume_link,"[84, 57, 1.8]"
buyVolume_link_004,0.0173,LINK,M,B,1h,buyVolume_link,"[72, 124, 1.0]"
buyVolume_link_005,0.0173,LINK,M,B,1h,buyVolume_link,"[42, 894, 2.0]"
buyVolume_link_006,0.0173,LINK,M,B,1h,buyVolume_link,"[48, 894, 2.2]"
buyVolume_link_007,0.0173,LINK,M,B,1h,buyVolume_link,"[72, 743, 1.8]"
buyVolume_link_008,0.0173,LINK,M,B,1h,buyVolume_link,"[48, 424, 2.0]"
buyVolume_link_009,0.0173,LINK,M,B,1h,buyVolume_link,"[48, 236, 1.4]"
buyVolume_link_010,0.0173,LINK,M,B,1h,buyVolume_link,"[60, 155, 1.0]"
buyVolume_link_011,0.0173,LINK,M,B,1h,buyVolume_link,"[60, 98, 1.2]"
sellVolume_bnb_001,0.0214,BNB,M,B,1h,sellVolume_bnb,"[72, 1075, 0.8]"
sellVolume_bnb_002,0.0214,BNB,M,B,1h,sellVolume_bnb,"[84, 894, 0.2]"
sellVolume_bnb_003,0.0214,BNB,M,B,1h,sellVolume_bnb,"[42, 1075, 0.8]"
sellVolume_bnb_004,0.0214,BNB,M,B,1h,sellVolume_bnb,"[60, 1075, 0.8]"
sellVolume_bnb_005,0.0214,BNB,M,B,1h,sellVolume_bnb,"[42, 1552, 0.0]"
sellVolume_bnb_006,0.0214,BNB,M,B,1h,sellVolume_bnb,"[72, 743, 1.0]"
sellVolume_bnb_007,0.0214,BNB,M,B,1h,sellVolume_bnb,"[36, 1552, 0.6]"
sellVolume_bnb_008,0.0214,BNB,M,B,1h,sellVolume_bnb,"[48, 1075, 0.6]"
sellVolume_bnb_009,0.0214,BNB,M,B,1h,sellVolume_bnb,"[60, 1292, 0.2]"
sellVolume_bnb_010,0.0214,BNB,M,B,1h,sellVolume_bnb,"[72, 743, 1.2]"
sellVolume_bnb_011,0.0214,BNB,M,R,1h,sellVolume_bnb,"[42, 512, 0.65]"
sellVolume_bnb_012,0.0214,BNB,M,R,1h,sellVolume_bnb,"[30, 894, 0.7]"
sellVolume_bnb_013,0.0214,BNB,M,R,1h,sellVolume_bnb,"[60, 1292, 0.75]"
sellVolume_bnb_014,0.0214,BNB,M,R,1h,sellVolume_bnb,"[48, 1075, 0.7]"
sellVolume_bnb_015,0.0214,BNB,M,R,1h,sellVolume_bnb,"[30, 1864, 0.5]"
sellVolume_bnb_016,0.0214,BNB,M,R,1h,sellVolume_bnb,"[36, 1552, 0.85]"
sellVolume_bnb_017,0.0214,BNB,M,R,1h,sellVolume_bnb,"[60, 1864, 0.65]"
sellVolume_bnb_018,0.0214,BNB,M,R,1h,sellVolume_bnb,"[36, 1075, 0.55]"
sellVolume_bnb_019,0.0214,BNB,M,R,1h,sellVolume_bnb,"[84, 1864, 0.5]"
sellVolume_bnb_020,0.0214,BNB,M,R,1h,sellVolume_bnb,"[36, 743, 0.55]"
sellVolume_bnb_021,0.0214,BNB,M,R,1h,sellVolume_bnb,"[60, 2238, 0.55]"
sellVolume_bnb_022,0.0214,BNB,M,R,1h,sellVolume_bnb,"[48, 1292, 0.75]"
sellVolume_icp_001,0.0136,ICP,M,B,1h,sellVolume_icp,"[48, 1075, 0.0]"
sellVolume_icp_002,0.0136,ICP,M,B,1h,sellVolume_icp,"[42, 1552, 0.2]"
sellVolume_icp_003,0.0136,ICP,M,B,1h,sellVolume_icp,"[72, 1075, 0.8]"
sellVolume_icp_004,0.0136,ICP,M,B,1h,sellVolume_icp,"[48, 1552, 0.6]"
sellVolume_icp_005,0.0136,ICP,M,B,1h,sellVolume_icp,"[36, 1075, 0.8]"
sellVolume_icp_006,0.0136,ICP,M,B,1h,sellVolume_icp,"[60, 1292, 0.4]"
sellVolume_icp_007,0.0136,ICP,M,B,1h,sellVolume_icp,"[42, 894, 1.2]"
sellVolume_icp_008,0.0136,ICP,M,B,1h,sellVolume_icp,"[84, 1075, 0.6]"
sellVolume_icp_009,0.0136,ICP,M,B,1h,sellVolume_icp,"[36, 1292, 0.6]"
sellVolume_icp_010,0.0136,ICP,M,B,1h,sellVolume_icp,"[36, 1552, 0.0]"
sellVolume_icp_011,0.0136,ICP,M,B,1h,sellVolume_icp,"[30, 1292, 0.8]"
sellVolume_icp_012,0.0136,ICP,M,R,1h,sellVolume_icp,"[72, 617, 0.8]"
sellVolume_icp_013,0.0136,ICP,M,R,1h,sellVolume_icp,"[60, 894, 0.8]"
sellVolume_icp_014,0.0136,ICP,M,R,1h,sellVolume_icp,"[24, 617, 0.65]"
sellVolume_icp_015,0.0136,ICP,M,R,1h,sellVolume_icp,"[60, 743, 0.8]"
sellVolume_icp_016,0.0136,ICP,M,R,1h,sellVolume_icp,"[12, 1552, 0.6]"
sellVolume_icp_017,0.0136,ICP,M,R,1h,sellVolume_icp,"[96, 1292, 0.5]"
sellVolume_icp_018,0.0136,ICP,M,R,1h,sellVolume_icp,"[48, 424, 0.9]"
sellVolume_icp_019,0.0136,ICP,M,R,1h,sellVolume_icp,"[42, 894, 0.85]"
sellVolume_icp_020,0.0136,ICP,M,R,1h,sellVolume_icp,"[36, 1075, 0.85]"
sellVolume_icp_021,0.0136,ICP,M,R,1h,sellVolume_icp,"[60, 894, 0.85]"
sellVolume_zec_001,0.008,ZEC,M,B,1h,sellVolume_zec,"[4, 2238, 1.4]"
sellVolume_zec_002,0.008,ZEC,M,B,1h,sellVolume_zec,"[8, 2238, 1.2]"
sellVolume_zec_003,0.008,ZEC,M,B,1h,sellVolume_zec,"[24, 743, 1.8]"
sellVolume_zec_004,0.008,ZEC,M,B,1h,sellVolume_zec,"[6, 1552, 1.0]"
sellVolume_zec_005,0.008,ZEC,M,B,1h,sellVolume_zec,"[12, 2238, 1.6]"
sellVolume_zec_006,0.008,ZEC,M,B,1h,sellVolume_zec,"[24, 743, 2.0]"
sellVolume_zec_007,0.008,ZEC,M,B,1h,sellVolume_zec,"[48, 512, 2.0]"
sellVolume_zec_008,0.008,ZEC,M,B,1h,sellVolume_zec,"[6, 1864, 1.4]"
sellVolume_zec_009,0.008,ZEC,M,B,1h,sellVolume_zec,"[8, 2238, 1.0]"
sellVolume_zec_010,0.008,ZEC,M,B,1h,sellVolume_zec,"[6, 2238, 1.4]"
sellVolume_zec_011,0.008,ZEC,M,R,1h,sellVolume_zec,"[24, 424, 0.9]"
sellVolume_zec_012,0.008,ZEC,M,R,1h,sellVolume_zec,"[24, 743, 0.95]"
sellVolume_zec_013,0.008,ZEC,M,R,1h,sellVolume_zec,"[42, 2238, 0.8]"
sellVolume_zec_014,0.008,ZEC,M,R,1h,sellVolume_zec,"[18, 743, 0.95]"
sellVolume_zec_015,0.008,ZEC,M,R,1h,sellVolume_zec,"[12, 350, 0.75]"
sellVolume_zec_016,0.008,ZEC,M,R,1h,sellVolume_zec,"[8, 1552, 0.9]"
sellVolume_zec_017,0.008,ZEC,M,R,1h,sellVolume_zec,"[96, 424, 0.9]"
sellVolume_zec_018,0.008,ZEC,M,R,1h,sellVolume_zec,"[8, 1864, 0.85]"
sellVolume_zec_019,0.008,ZEC,M,R,1h,sellVolume_zec,"[8, 894, 0.95]"
sellVolume_zec_020,0.008,ZEC,M,R,1h,sellVolume_zec,"[8, 2238, 0.85]"
sellVolume_zec_021,0.008,ZEC,M,R,1h,sellVolume_zec,"[8, 2238, 0.95]"
